Year,Week,Beat,District
2019,31,234,2.0
2020,42,1431,14.0
2022,11,1924,19.0
2019,4,821,8.0
2022,45,835,8.0
2022,10,1732,17.0
2023,18,934,9.0
2019,10,1412,14.0
2021,8,1711,17.0
2020,47,1531,15.0
2020,19,1933,19.0
2020,17,423,4.0
2020,13,1531,15.0
2022,45,1711,17.0
2021,37,1113,11.0
2019,43,2232,22.0
2023,15,312,3.0
2020,38,113,1.0
2023,30,1614,16.0
2022,24,1424,14.0
2021,32,613,6.0
2020,4,523,5.0
2019,28,433,4.0
2022,46,2023,20.0
2022,17,2024,20.0
2020,45,433,4.0
2021,14,1014,10.0
2021,7,1031,10.0
2020,3,231,2.0
2020,34,1215,12.0
2022,50,623,6.0
2019,50,1031,10.0
2019,24,215,2.0
2019,11,835,8.0
2021,38,2422,24.0
2021,38,2013,20.0
2021,25,524,5.0
2021,3,235,2.0
2022,29,1611,16.0
2019,44,233,2.0
2020,37,715,7.0
2019,12,712,7.0
2023,35,1914,19.0
2020,11,523,5.0
2020,50,421,4.0
2021,34,322,3.0
2021,35,931,9.0
2020,4,114,1.0
2022,21,1131,11.0
2021,49,411,4.0
2023,28,935,9.0
2021,44,1523,15.0
2020,52,1433,14.0
2019,21,1935,19.0
2020,23,1024,10.0
2023,27,1724,17.0
2021,17,1611,16.0
2022,2,232,2.0
2022,20,1133,11.0
2021,4,1225,12.0
2023,17,424,4.0
2019,26,414,4.0
2020,7,112,1.0
2023,3,2524,25.0
2020,20,212,2.0
2022,30,1412,14.0
2020,35,2011,20.0
2022,28,2423,24.0
2021,26,1533,15.0
2021,23,2012,20.0
2020,43,713,7.0
2021,21,234,2.0
2022,50,222,2.0
2022,12,1932,19.0
2023,39,321,3.0
2022,33,2522,25.0
2023,40,1933,19.0
2022,22,613,6.0
2021,25,511,5.0
2019,21,2515,25.0
2023,19,1813,18.0
2021,20,725,7.0
2022,50,312,3.0
2020,25,731,7.0
2020,52,1811,18.0
2019,7,224,2.0
2023,33,634,6.0
2021,7,1935,19.0
2020,23,1411,14.0
2022,41,413,4.0
2019,28,1032,10.0
2021,1,923,9.0
2023,34,1124,11.0
2023,9,233,2.0
2023,35,1713,17.0
2023,30,113,1.0
2022,39,113,1.0
2019,46,1633,16.0
2019,42,731,7.0
2021,34,1623,16.0
2022,24,221,2.0
2020,17,2424,24.0
2021,23,1123,11.0
2021,47,313,3.0
2023,23,923,9.0
2022,16,1122,11.0
2020,44,1933,19.0
2019,45,2513,25.0
2022,40,1933,19.0
2019,3,1011,10.0
2020,26,1524,15.0
2023,37,1832,18.0
2020,1,1733,17.0
2023,22,611,6.0
2021,7,234,2.0
2020,12,814,8.0
2021,34,1423,14.0
2019,10,512,5.0
2021,16,1633,16.0
2022,3,1831,18.0
2020,23,1234,12.0
2020,8,1655,16.0
2023,27,1115,11.0
2021,3,114,1.0
2019,35,1135,11.0
2019,42,2423,24.0
2020,9,235,2.0
2020,32,923,9.0
2022,4,214,2.0
2022,24,1651,16.0
2023,11,114,1.0
2019,37,1524,15.0
2021,25,1925,19.0
2021,53,131,1.0
2022,35,921,9.0
2021,26,1214,12.0
2023,14,2013,20.0
2023,45,234,2.0
2021,12,1632,16.0
2022,23,2213,22.0
2020,24,1522,15.0
2021,2,1653,31.0
2019,22,112,1.0
2021,10,1733,17.0
2019,41,1925,19.0
2021,13,1132,11.0
2023,40,1633,16.0
2023,22,1422,14.0
2021,38,1133,11.0
2021,46,714,7.0
2019,14,622,6.0
2020,21,715,7.0
2021,38,623,6.0
2020,36,431,4.0
2022,1,212,2.0
2023,44,1653,16.0
2023,27,1632,16.0
2021,35,1732,17.0
2022,49,715,7.0
2019,2,223,2.0
2021,1,522,5.0
2021,20,332,3.0
2021,6,724,7.0
2020,49,612,6.0
2019,25,1133,11.0
2022,23,1214,12.0
2023,41,1731,17.0
2023,29,1214,12.0
2021,36,1421,14.0
2019,26,1133,11.0
2020,28,2033,20.0
2019,6,634,6.0
2020,46,2534,25.0
2023,22,1213,12.0
2022,21,611,6.0
2022,43,323,3.0
2021,25,1414,14.0
2022,20,1413,14.0
2019,36,2422,24.0
2023,41,612,6.0
2020,44,735,7.0
2022,23,1511,15.0
2023,23,1133,11.0
2022,18,725,7.0
2021,16,1711,17.0
2019,26,334,3.0
2021,18,835,8.0
2023,37,1225,12.0
2021,20,1533,15.0
2023,44,131,1.0
2023,24,1824,18.0
2021,17,1634,16.0
2020,40,631,6.0
2020,49,133,1.0
2021,21,312,3.0
2021,50,723,7.0
2020,41,1421,14.0
2023,2,922,9.0
2022,50,1914,19.0
2023,8,233,2.0
2023,5,2233,22.0
2021,18,924,9.0
2020,6,1114,11.0
2022,15,531,5.0
2023,39,735,7.0
2022,7,1915,19.0
2023,44,1923,19.0
2021,23,1831,18.0
2019,5,112,1.0
2019,11,123,1.0
2021,44,821,8.0
2020,49,2423,20.0
2020,2,2411,24.0
2020,22,923,9.0
2020,8,1823,18.0
2021,45,1022,10.0
2023,27,1232,12.0
2022,34,2233,22.0
2020,9,813,8.0
2023,45,324,3.0
2023,34,1232,12.0
2023,20,726,7.0
2023,34,2221,22.0
2020,52,2423,24.0
2020,18,735,7.0
2022,14,1722,17.0
2022,41,222,2.0
2020,36,221,2.0
2022,34,2432,24.0
2019,32,2412,24.0
2022,22,1733,17.0
2021,12,924,9.0
2023,25,1655,16.0
2023,34,725,7.0
2022,50,1033,10.0
2023,13,1034,10.0
2023,35,1123,11.0
2022,14,2532,25.0
2023,27,225,2.0
2020,3,914,9.0
2022,35,1235,12.0
2022,10,631,6.0
2022,52,214,2.0
2021,4,2213,22.0
2020,33,2012,20.0
2022,16,1614,16.0
2023,26,2022,20.0
2022,50,1434,14.0
2021,21,1513,15.0
2019,3,2521,25.0
2020,18,2513,25.0
2023,28,1121,11.0
2021,20,732,7.0
2022,10,1231,12.0
2021,31,523,5.0
2021,4,124,1.0
2019,42,812,8.0
2019,30,111,1.0
2019,39,324,3.0
2023,29,1811,18.0
2023,12,731,7.0
2022,30,914,9.0
2022,3,1112,11.0
2020,44,711,7.0
2019,18,1621,16.0
2020,20,511,5.0
2022,48,1421,14.0
2021,14,735,7.0
2023,22,1114,11.0
2020,41,1732,17.0
2019,5,1532,15.0
2021,33,2022,20.0
2022,27,231,2.0
2020,26,1214,12.0
2019,37,1935,19.0
2023,23,2524,25.0
2022,20,121,1.0
2023,16,2523,25.0
2019,6,1022,10.0
2021,9,422,4.0
2022,29,2411,24.0
2021,28,1225,12.0
2023,38,1624,16.0
2021,1,1523,15.0
2023,6,1413,14.0
2021,53,634,6.0
2021,43,1814,18.0
2023,18,2531,25.0
2021,26,1511,15.0
2023,30,812,8.0
2021,50,2213,22.0
2023,7,734,7.0
2021,52,2521,25.0
2021,33,612,6.0
2021,43,922,9.0
2023,6,931,9.0
2023,42,2433,24.0
2022,34,2012,20.0
2023,18,1211,12.0
2019,20,1652,16.0
2019,8,1231,12.0
2020,8,1532,15.0
2021,11,1131,11.0
2021,50,2013,20.0
2020,25,433,4.0
2022,48,815,8.0
2023,7,2535,25.0
2020,29,1513,15.0
2020,40,1631,16.0
2023,17,333,3.0
2023,8,1024,10.0
2021,52,935,9.0
2019,22,1935,19.0
2021,48,735,7.0
2021,44,212,2.0
2020,9,213,2.0
2020,45,211,2.0
2022,43,2513,25.0
2020,10,733,7.0
2023,33,1131,11.0
2023,8,1021,10.0
2022,47,1922,19.0
2019,51,1434,14.0
2020,28,2023,20.0
2021,26,1722,17.0
2019,26,923,9.0
2020,42,1914,19.0
2021,10,915,9.0
2023,7,1423,14.0
2022,21,2011,20.0
2019,20,732,7.0
2021,43,825,8.0
2021,38,2533,25.0
2023,15,2432,24.0
2020,20,213,2.0
2019,37,623,6.0
2019,29,1023,10.0
2022,48,2232,22.0
2020,18,524,5.0
2023,12,1924,19.0
2021,23,633,6.0
2021,9,2033,20.0
2022,28,1135,11.0
2023,29,2233,22.0
2021,43,524,5.0
2023,6,624,6.0
2022,37,1524,15.0
2019,46,823,8.0
2022,48,934,9.0
2022,9,1512,15.0
2021,29,1523,15.0
2023,44,1655,16.0
2020,43,1135,11.0
2022,8,1133,11.0
2022,13,211,2.0
2022,34,522,5.0
2019,43,821,8.0
2023,41,632,6.0
2019,47,2523,25.0
2021,36,314,3.0
2021,23,133,1.0
2019,34,2234,22.0
2020,16,914,9.0
2022,47,1831,18.0
2020,14,1125,11.0
2019,44,1211,12.0
2021,42,1122,11.0
2019,37,332,3.0
2021,25,935,9.0
2020,7,1814,18.0
2021,31,734,7.0
2023,22,1712,17.0
2021,16,2232,22.0
2021,45,421,4.0
2020,20,122,1.0
2022,6,2232,22.0
2022,33,1524,15.0
2021,24,824,8.0
2021,18,633,6.0
2022,42,831,8.0
2022,12,1632,16.0
2023,8,1411,14.0
2022,28,1511,15.0
2020,14,2221,22.0
2021,37,1115,11.0
2020,46,1523,15.0
2020,38,1211,12.0
2021,39,433,4.0
2023,21,1915,19.0
2023,8,111,1.0
2022,45,2433,24.0
2020,53,811,8.0
2023,42,1021,10.0
2021,52,815,8.0
2023,27,623,6.0
2020,5,832,8.0
2022,30,1924,19.0
2022,9,2423,24.0
2023,32,1031,10.0
2019,5,1114,11.0
2023,16,1532,15.0
2021,14,1414,14.0
2019,25,314,3.0
2021,22,1111,11.0
2020,5,735,7.0
2019,19,2433,24.0
2023,13,925,9.0
2022,29,423,4.0
2019,46,112,1.0
2021,6,732,7.0
2022,9,1832,18.0
2022,35,824,8.0
2023,14,1111,11.0
2022,42,932,9.0
2023,1,832,8.0
2023,36,1651,16.0
2021,10,523,5.0
2023,24,1011,10.0
2023,31,1834,18.0
2023,1,321,3.0
2021,2,1214,12.0
2023,44,1732,17.0
2023,17,532,5.0
2023,36,1121,11.0
2021,27,1934,19.0
2019,19,212,2.0
2022,18,921,9.0
2019,10,1113,11.0
2019,23,411,4.0
2022,43,2032,20.0
2020,15,1434,14.0
2020,45,1632,16.0
2023,11,921,9.0
2019,12,215,2.0
2022,16,813,8.0
2020,9,1623,16.0
2022,33,1733,17.0
2019,35,1232,12.0
2021,29,1922,19.0
2023,14,634,6.0
2022,6,332,3.0
2022,16,1232,12.0
2021,52,1031,10.0
2023,28,821,8.0
2020,44,411,4.0
2020,24,324,3.0
2023,38,2531,25.0
2023,26,421,4.0
2019,12,222,2.0
2020,50,933,9.0
2019,1,1654,16.0
2019,13,1925,19.0
2019,3,2535,25.0
2019,10,633,6.0
2019,10,2221,22.0
2020,11,832,8.0
2021,13,1934,19.0
2022,4,1113,11.0
2022,10,1115,11.0
2023,11,212,2.0
2020,20,312,3.0
2020,4,1632,16.0
2023,14,1723,17.0
2019,7,2022,20.0
2022,28,112,1.0
2021,3,1824,18.0
2022,48,932,9.0
2023,25,1814,18.0
2020,34,2432,24.0
2021,35,1414,14.0
2020,14,421,4.0
2020,47,1613,16.0
2020,10,1422,14.0
2019,17,1655,16.0
2022,6,213,2.0
2021,44,1813,18.0
2019,37,631,6.0
2020,3,2011,20.0
2023,40,1935,19.0
2021,8,1412,14.0
2023,27,1123,11.0
2019,46,1631,16.0
2021,25,233,2.0
2023,16,821,8.0
2020,15,1231,12.0
2020,50,1115,11.0
2019,13,2531,25.0
2022,29,2024,20.0
2020,34,531,5.0
